document;siape;das;context
PORTARIA IPEA Nº 24, DE 13 DE FEVEREIRO DE 2023Nº 24;;;Dispensar, a contar de 06 de fevereiro de 2023, o servidor ROBERTO ROCHA COELHO PIRES, Matrícula SIAPE nº XX315XX, da Função Comissionada de Coordenador de Ciência de Dados e Análise de Políticas Públicas - CODAP, código FCE 1.10, da Coordenação-Geral de Estudos e Políticas do Estado, das Instituições e da Democracia - CGEST, da Diretoria de Estudos e Políticas do Estado, das Instituições e da Democracia - DIEST, do Instituto de Pesquisa Econômica Aplicada - IPEA.
PORTARIAS DE 14 DE FEVEREIRO DE 2023Nº 1;;;O MINISTRO DE ESTADO CHEFE DA CASA CIVIL DA PRESIDÊNCIA DA REPÚBLICA, no uso de suas atribuições e tendo em vista o disposto no art. 4º do Decreto nº 9.794, de 14 de maio de 2019, resolve:
PORTARIA IPEA Nº 26, DE 16 DE FEVEREIRO DE 2023Nº 26;;;Art. 1º Ceder a servidora MARIA PAULA GOMES DOS SANTOS, Matrícula SIAPE nº XX524XX, ocupante do cargo de Técnico de Planejamento e Pesquisa, pertencente ao Quadro de Pessoal da Fundação Instituto de Pesquisa Econômica Aplicada - IPEA, para exercer o cargo comissionado de Diretora de Pesquisa, Avaliação e Gestão de Informações, código CCE 1.15, da Secretaria Nacional de Políticas sobre Drogas e Gestão de Ativos do Ministério da Justiça e Segurança Pública - MJSP.
PORTARIA DIDES Nº 24, DE 16 DE FEVEREIRO DE 2023Nº 24;;;Conceder aposentadoria voluntaria ao servidor Fábio Schiavinatto, matrícula SIAPE n.º XX933XX, ocupante do cargo de Técnico de Planejamento e Pesquisa, NS-S-IV, do Quadro de Pessoal do Instituto de Pesquisa Econômica Aplicada - IPEA, com Deficiência Moderada, com base no Art. 40, § 1º, inciso III, § 4º, inciso I da Constituição Federal de 1988, com redação dada pela EC nº 41, de 2003, normatizado pela Lei Complementar n.º 142 de 08/05/2003, combinado com o Art. 22 da Emenda Constitucional n.º 103/2019, conforme Laudo Médico Pericial, declarando em decorrência a vacância do cargo. (Processo n.º 03001.000174/2022-74).
PORTARIA IPEA Nº 27, DE 16 DE FEVEREIRO DE 2023Nº 27;;;Dispensar o servidor SÉRGIO VINICIUS MARQUES DO VAL CÔRTES, Matrícula SIAPE nº XX831XX, da Função Comissionada de Coordenador-Geral de Planejamento, Gestão Estratégica e Orçamento - CGPGO, código FCE 1.13, da Diretoria de Desenvolvimento Institucional - DIDES, do Instituto de Pesquisa Econômica Aplicada - IPEA.
PORTARIA IPEA Nº 28, DE 16 DE FEVEREIRO DE 2023Nº 28;;;Art. 1° Delegar competência ao servidor CARLOS ROBERTO PAIVA DA SILVA, Matrícula SIAPE nº XX469XX, para exercer as atribuições de Ordenador de Despesas do Instituto de Pesquisa Econômica Aplicada - IPEA, nos impedimentos legais e regulamentares do titular.
PORTARIA IPEA Nº 29, DE 16 DE FEVEREIRO DE 2023Nº 29;;;Dispensar o servidor DEMERSON ANDRE POLLI, Matrícula SIAPE nº XX152XX, da Função Comissionada de Coordenador-Geral de Ciência de Dados e Tecnologia da Informação - CGDTI, código FCE 1.14, do Instituto de Pesquisa Econômica Aplicada - IPEA.
PORTARIA IPEA Nº 32, DE 17 DE FEVEREIRO DE 2023Nº 32;['SIAPE nº 1199038'];;"Autorizar o afastamento do País do servidor Fábio Veras Soares, ocupante do cargo Técnico de Planejamento e Pesquisa, matrícula SIAPE nº 1199038, Diretor de Estudos Internacionais Substituto - DINTE, do Instituto de Pesquisa Econômica Aplicada - IPEA, para participar como palestrante na Conferência Regional sobre a reforma do sistema de cuidado e seguridade social"", em Cairo/Egito, no período de 24 a 28 de fevereiro de 2023, incluído trânsito, com ônus limitado para o IPEA."
PORTARIA IPEA Nº 33, DE 17 DE FEVEREIRO DE 2023Nº 33;['SIAPE nº 403938'];;Autorizar o afastamento do País do servidor Renato Coelho Baumann das Neves, ocupante do cargo Técnico de Planejamento e Pesquisa, matrícula SIAPE nº 403938, da Diretoria de Estudos Internacionais - DINTE, do Instituto de Pesquisa Econômica Aplicada - IPEA, para participar Mesa Redonda de Políticas Especiais Think-20 - Governança Econômica Global para a Transformação Industrial Verde, Raisina Dialogue 2023 e Global Think Tank Town Hall, em Nova Delhi/Índia, no período de 28 de fevereiro a 06 de março de 2023, incluído trânsito, com ônus limitado para o IPEA.
PORTARIA IPEA Nº 30, DE 17 DE FEVEREIRO DE 2023Nº 30;;;Tornar sem efeito a Portaria n° 29, de 16 de fevereiro de 2023, publicada no Diário Oficial da União n° 35, de 17 de fevereiro de 2023, seção 02, página n° 59, referente a dispensa do servidor DEMERSON ANDRE POLLI.
